aa00,en,Medical School,This is an official account for a Medical School,es,Escuela De Medicina,Esta es una cuenta oficial de una Escuela de Medicina,pt,Escola De Medicina,Esta é uma conta oficial de uma Escola de Medicina,inform,FALSE,warn
cp05,en,Clinical Child & Adolescent Psychology,This user works in the field of Clinical Child & Adolescent Psychology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Psicología Clínica Infantil Y Adolescente,Este usuario trabaja en el campo de la Psicología Clínica Infantil y Adolescente. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Psicologia Clínica Da Criança E Do Adolescente,Este usuário atua na área de Psicologia Clínica da Infância e Adolescência. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
cp06,en,Clinical Neuropsychology,This user works in the field of Clinical Neuropsychology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Neuropsicología Clínica,Este usuario trabaja en el campo de la neuropsicología clínica. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Neuropsicologia Clínica,Este usuário atua na área de Neuropsicologia Clínica. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
cp07,en,Clinical Psychology,This user works in the field of Clinical Psychology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Psicología Clínica,Este usuario trabaja en el campo de la psicología clínica. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Psicologia Clínica,Este usuário atua na área de Psicologia Clínica. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
cp08,en,Cognitive & Behavioral Psychology,This user works in the field of Cognitive & Behavioral Psychology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Psicología Cognitiva Y Conductual,Este usuario trabaja en el campo de la Psicología Cognitiva y Conductual. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Psicologia Cognitiva E Comportamental,Este usuário atua na área de Psicologia Cognitiva e Comportamental. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
cp09,en,Cognitive Behavioral Therapy,This user works in the field of Cognitive Behavioral Therapy. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Terapia Cognitivo-Conductual,Este usuario trabaja en el campo de la terapia cognitivo-conductual. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Terapia Cognitivo-Comportamental,Este usuário atua na área de Terapia Cognitivo-Comportamental. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
cp10,en,Counseling,This user works in the field of Counseling. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Asesoramiento,Este usuario trabaja en el campo de la consejería. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Aconselhamento,Este usuário trabalha na área de Aconselhamento. Esta etiqueta serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
cp11,en,Drama Therapy,This user works in the field of Drama Therapy. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Terapia De Drama,Este usuario trabaja en el campo de la dramaterapia. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Terapia Dramática,Este usuário atua na área de Terapia Dramática. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
cp12,en,Educational Psychology,This user works in the field of Educational Psychology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Psicología Educativa,Este usuario trabaja en el campo de la Psicología Educativa. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Psicologia Educacional,Este usuário atua na área de Psicologia Educacional. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
cp13,en,Exercise & Sports Psychology,This user works in the field of Exercise & Sports Psychology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Psicología Del Ejercicio Y El Deporte,Este usuario trabaja en el campo de la Psicología del Ejercicio y el Deporte. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Psicologia Do Exercício E Do Esporte,Este usuário atua na área de Psicologia do Exercício e do Esporte. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
cp14,en,Family Psychology,This user works in the field of Family Psychology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Psicología Familiar,Este usuario trabaja en el campo de la psicología familiar. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Psicologia Familiar,Este usuário atua na área de Psicologia Familiar. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
cp15,en,Feminine Psychology,This user works in the field of Feminine Psychology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Psicología Femenina,Este usuario trabaja en el campo de la Psicología Femenina. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Psicologia Feminina,Esta usuária atua na área de Psicologia Feminina. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
cp16,en,Forensic Psychology,This user works in the field of Forensic Psychology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Psicología Forense,Este usuario trabaja en el campo de la psicología forense. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Psicologia Forense,Este usuário trabalha na área de Psicologia Forense. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
cp17,en,Group Psychotherapy,This user works in the field of Group Psychotherapy. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Psicoterapia De Grupo,Este usuario trabaja en el campo de la psicoterapia de grupo. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Psicoterapia De Grupo,Este usuário atua na área de Psicoterapia de Grupo. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
cp18,en,Health Psychology,This user works in the field of Health Psychology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Psicología De La Salud,Este usuario trabaja en el campo de la psicología de la salud. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Psicologia Da Saúde,Este usuário atua na área de Psicologia da Saúde. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
cp19,en,Health Service Psychology,This user works in the field of Health Service Psychology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Psicología Del Servicio De Salud,Este usuario trabaja en el campo de la Psicología de Servicios de Salud. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Psicologia Do Serviço De Saúde,Este usuário trabalha na área de Psicologia de Serviços de Saúde. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
cp20,en,Intellectual & Developmental Disabilities Psychology,This user works in the field of Intellectual & Developmental Disabilities Psychology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Psicología De Las Discapacidades Intelectuales Y Del Desarrollo,Este usuario trabaja en el campo de la Psicología de las Discapacidades Intelectuales y del Desarrollo. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Psicologia Das Deficiências Intelectuais E Do Desenvolvimento,Este usuário atua na área de Psicologia de Deficiências Intelectuais e de Desenvolvimento. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
cp21,en,Marriage & Family Therapy,This user works in the field of Marriage & Family Therapy. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Terapia Matrimonial Y Familiar,Este usuario trabaja en el campo de la terapia matrimonial y familiar. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Terapia De Casal E Família,Este usuário atua na área de Terapia Conjugal e Familiar. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
cp22,en,Mental Health Counseling,This user works in the field of Mental Health Counseling. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Asesoramiento En Salud Mental,Este usuario trabaja en el campo de la consejería en salud mental. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Aconselhamento Em Saúde Mental,Este usuário atua na área de Aconselhamento em Saúde Mental. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
cp23,en,Men & Masculinity Psychology,This user works in the field of Men & Masculinity Psychology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Psicología De Los Hombres Y La Masculinidad,Este usuario trabaja en el campo de la psicología masculina y de la masculinidad. Esta etiqueta solo tiene fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Psicologia Do Homem E Da Masculinidade,Este usuário atua na área de Psicologia Masculina e Masculinidade. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
cp24,en,Music Therapy,This user works in the field of Music Therapy. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Terapia Musical,Este usuario trabaja en el campo de la musicoterapia. Esta etiqueta solo tiene fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Musicoterapia,Este usuário atua na área de Musicoterapia. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
cp25,en,Neuropsychology,This user works in the field of Neuropsychology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Neuropsicología,Este usuario trabaja en el campo de la neuropsicología. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Neuropsicologia,Este usuário atua na área de Neuropsicologia. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
cp26,en,Pastoral Counseling,This user works in the field of Pastoral Counseling. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Consejería Pastoral,Este usuario trabaja en el campo de la consejería pastoral. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Aconselhamento Pastoral,Este usuário trabalha na área de Aconselhamento Pastoral. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
cp27,en,Poetry Therapy,This user works in the field of Poetry Therapy. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Terapia De Poesía,Este usuario trabaja en el campo de la poesoterapia. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Terapia Poesia,Este usuário atua na área de Terapia Poesia. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
cp28,en,Prescribing Psychology,This user works in the field of Prescribing Psychology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Psicología De La Prescripción,Este usuario trabaja en el campo de la Psicología de la Prescripción. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Psicologia Da Prescrição,Este usuário atua na área de Psicologia da Prescrição. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
cp29,en,Psychoanalysis,This user works in the field of Psychoanalysis. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Psicoanálisis,Este usuario trabaja en el campo del psicoanálisis. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Psicanálise,Este usuário trabalha na área de Psicanálise. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
cp30,en,Psychoanalytics,This user works in the field of Psychoanalytics. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Psicoanalítica,Este usuario trabaja en el campo del psicoanálisis. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Psicanalítica,Este usuário atua na área de Psicanálise. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
cp31,en,Psychotherapy,This user works in the field of Psychotherapy. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Psicoterapia,Este usuario trabaja en el campo de la psicoterapia. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Psicoterapia,Este usuário atua na área de Psicoterapia. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
cp32,en,Rehabilitation Psychology,This user works in the field of Rehabilitation Psychology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Psicología De La Rehabilitación,Este usuario trabaja en el campo de la Psicología de la Rehabilitación. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Psicologia Da Reabilitação,Este usuário atua na área de Psicologia da Reabilitação. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
cp33,en,School Psychology,This user works in the field of School Psychology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Psicología Escolar,Este usuario trabaja en el campo de la psicología escolar. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Psicologia Escolar,Este usuário trabalha na área de Psicologia Escolar. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
cp34,en,School Counseling,This user works in the field of School Counseling. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Orientación Escolar,Este usuario trabaja en el campo de la orientación escolar. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Aconselhamento Escolar,Este usuário trabalha na área de Aconselhamento Escolar. Esta etiqueta serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
cp35,en,Spiritual Care,This user works in the field of Spiritual Care. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Cuidado Espiritual,Este usuario trabaja en el campo de la atención espiritual. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Cuidado Espiritual,Este usuário trabalha na área de Cuidado Espiritual. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
ct00,en,Antibiotic Stewardship,This user works in the field of Antibiotic Stewardship. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Administración De Antibióticos,Este usuario trabaja en el campo de la gestión responsable de antibióticos. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencias.,pt,Administração De Antibióticos,Este usuário trabalha na área de Administração de Antibióticos. Esta etiqueta serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
ct01,en,Audiology,This user works in the field of Audiology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Audiología,Este usuario trabaja en el campo de la audiología. Esta etiqueta es solo para fines de red y no constituye una verificación de credenciales ni licencia.,pt,Audiologia,Este usuário trabalha na área de Audiologia. Esta etiqueta serve apenas para fins de networking e não constitui uma verificação de credenciais ou licença.,inform,FALSE,warn
ct02,en,Durable Medical Equipment,This user works in the field of Durable Medical Equipment. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Equipo Médico Duradero,Este usuario trabaja en el sector de equipos médicos duraderos. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencias.,pt,Equipamentos Médicos Duráveis,Este usuário trabalha na área de Equipamentos Médicos Duráveis. Esta etiqueta serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
ct03,en,Healthcare Administration,This user works in the field of Healthcare Administration. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Administración De La Atención Sanitaria,Este usuario trabaja en el campo de la Administración Sanitaria. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencias.,pt,Administração De Saúde,Este usuário trabalha na área de Administração de Saúde. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
ct04,en,Home Health,This user works in the field of Home Health. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Salud En El Hogar,Este usuario trabaja en el sector de la salud a domicilio. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Saúde Domiciliar,Este usuário trabalha na área de Saúde Domiciliar. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
ct05,en,Intermediate Care,This user works in the field of Intermediate Care. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Cuidados Intermedios,Este usuario trabaja en el campo de Cuidados Intermedios. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Cuidados Intermediários,Este usuário atua na área de Cuidados Intermediários. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
ct06,en,Lactation,This user works in the field of Lactation. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Lactancia,Este usuario trabaja en el campo de la lactancia. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Lactação,Este usuário trabalha na área de Lactação. Esta etiqueta serve apenas para fins de networking e não constitui uma verificação de credenciais ou licença.,inform,FALSE,warn
ct07,en,Medical Communication,This user works in the field of Medical Communication. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Comunicación Médica,Este usuario trabaja en el campo de la comunicación médica. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Comunicação Médica,Este usuário trabalha na área de Comunicação Médica. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
ct08,en,Medical Editor,This user works in the field of Medical Editor. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Editor Médico,Este usuario trabaja como editor médico. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Editor Médico,Este usuário trabalha na área de Editor Médico. Esta etiqueta serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
